Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
RAW,CAL,RAW,RAW,CAL,RAW,CAL,
no units,mSecs,no units,no units,mVolts,no units,mVolts,
Timestamp,Timestamp (mSecs),EXG1 Sta,EMG CH1,EMG CH1 (mVolts),EMG CH2,EMG CH2,
32,0,126,-1847425,-44.4131000137051,1341180,32.242695360505,
64,0.9765625,115,-3208305,-77.1293940698378,-1578891,-37.9573968598124,
96,1.953125,126,-1847425,-44.4131000137051,1341180,32.242695360505,
128,2.9296875,115,-3208305,-77.1293940698378,-1578891,-37.9573968598124,
160,3.90625,126,-1847425,-44.4131000137051,1341180,32.242695360505,
192,4.8828125,115,-3208305,-77.1293940698378,-1578891,-37.9573968598124,
224,5.859375,126,-1847425,-44.4131000137051,1341180,32.242695360505,
256,6.8359375,115,-3208305,-77.1293940698378,-1578891,-37.9573968598124,
288,7.8125,128,8388607,201.666666666667,2389308,57.4402615356757,
320,8.7890625,128,8388607,201.666666666667,2389308,57.4402615356757,
352,9.765625,128,8388607,201.666666666667,2625541,63.1194311125395,
384,10.7421875,128,8388607,201.666666666667,2625541,63.1194311125395,
416,11.71875,128,3572682,85.8892149793166,2320633,55.7892772502832,
448,12.6953125,128,3572682,85.8892149793166,2320633,55.7892772502832,
480,13.671875,128,-5593102,-134.461208716378,2334972,56.1339945952886,
512,14.6484375,128,-5593102,-134.461208716378,2334972,56.1339945952886,
544,15.625,128,-8388608,-201.66669070721,1815838,43.6537313843248,
576,16.6015625,128,-8388608,-201.66669070721,1815838,43.6537313843248,
608,17.578125,128,-8388608,-201.66669070721,1170339,28.1355849666101,
640,18.5546875,128,-8388608,-201.66669070721,1170339,28.1355849666101,
672,19.53125,128,-8388608,-201.66669070721,1352991,32.5266382129953,
704,20.5078125,128,-8388608,-201.66669070721,1352991,32.5266382129953,
736,21.484375,128,2023744,48.6519045017446,1999525,48.0696665926377,
768,22.4609375,128,2023744,48.6519045017446,1999525,48.0696665926377,
800,23.4375,128,8388607,201.666666666667,2251276,54.1218973146157,
832,24.4140625,128,8388607,201.666666666667,2251276,54.1218973146157,
864,25.390625,128,8388607,201.666666666667,2498651,60.0689266207528,
896,26.3671875,128,8388607,201.666666666667,2498651,60.0689266207528,
928,27.34375,128,5923329,142.400045084959,2477871,59.5693641387658,
960,28.3203125,128,5923329,142.400045084959,2477871,59.5693641387658,
992,29.296875,128,-4477749,-107.647517043056,2408301,57.8968635674552,
1024,30.2734375,128,-4477749,-107.647517043056,2408301,57.8968635674552,
1056,31.25,128,-8388608,-201.66669070721,2022603,48.6244742422669,
1088,32.2265625,128,-8388608,-201.66669070721,2022603,48.6244742422669,
1120,33.203125,128,-8388608,-201.66669070721,1226308,29.4811101135941,
1152,34.1796875,128,-8388608,-201.66669070721,1226308,29.4811101135941,
1184,35.15625,128,-8388608,-201.66669070721,1177405,28.30545544292,
1216,36.1328125,128,-8388608,-201.66669070721,1177405,28.30545544292,
1248,37.109375,128,-3559181,-85.5646436092826,1848892,44.4483674901765,
1280,38.0859375,128,-3559181,-85.5646436092826,1848892,44.4483674901765,
1312,39.0625,128,-3559181,-85.5646436092826,1848892,44.4483674901765,
1344,40.0390625,128,8388607,201.666666666667,1786450,42.9472279088371,
1376,41.015625,128,8388607,201.666666666667,1786450,42.9472279088371,
1408,41.9921875,128,8388607,201.666666666667,1906859,45.8419256419252,
1440,42.96875,128,8388607,201.666666666667,1906859,45.8419256419252,
1472,43.9453125,128,7435768,178.759899786301,2485654,59.7564716843532,
1504,44.921875,128,7435768,178.759899786301,2485654,59.7564716843532,
1536,45.8984375,128,-2231530,-53.6471927540135,2553785,61.3943779143943,
1568,46.875,128,-2231530,-53.6471927540135,2553785,61.3943779143943,
1600,47.8515625,128,-6758683,-162.482408779749,2091392,50.2781991495529,
1632,48.828125,128,-6758683,-162.482408779749,2091392,50.2781991495529,
1664,49.8046875,128,-8388608,-201.66669070721,1451783,34.901651529668,
1696,50.78125,128,-8388608,-201.66669070721,1451783,34.901651529668,
1728,51.7578125,128,-8388608,-201.66669070721,1278234,30.7294393455314,
1760,52.734375,128,-8388608,-201.66669070721,1278234,30.7294393455314,
1792,53.7109375,128,-7401491,-177.935862096452,1567318,37.6791756565383,
1824,54.6875,128,-7401491,-177.935862096452,1567318,37.6791756565383,
1856,55.6640625,128,6135989,147.512506943445,2160138,51.9308903134931,
1888,56.640625,128,6135989,147.512506943445,2160138,51.9308903134931,
1920,57.6171875,128,8388607,201.666666666667,2384819,57.3323435384842,
1952,58.59375,128,8388607,201.666666666667,2384819,57.3323435384842,
1984,59.5703125,128,8388607,201.666666666667,2290118,55.0556800829188,
2016,60.546875,128,8388607,201.666666666667,2290118,55.0556800829188,
2048,61.5234375,128,-2419649,-58.1696756485711,2237851,53.7991530258441,
2080,62.5,128,-2419649,-58.1696756485711,2237851,53.7991530258441,
2112,63.4765625,128,-6500332,-156.271510474465,1996810,48.0043965185956,
2144,64.453125,128,-6500332,-156.271510474465,1996810,48.0043965185956,
2176,65.4296875,128,-8388608,-201.66669070721,1570968,37.7669236382155,
2208,66.40625,128,-8388608,-201.66669070721,1570968,37.7669236382155,
2240,67.3828125,128,-8388608,-201.66669070721,1128022,27.1182613116417,
2272,68.359375,128,-8388608,-201.66669070721,1128022,27.1182613116417,
2304,69.3359375,128,-8388608,-201.66669070721,1188270,28.566655941803,
2336,70.3125,128,-8388608,-201.66669070721,1188270,28.566655941803,
2368,71.2890625,128,2057900,49.4730332859,1710362,41.1180310787397,
2400,72.265625,128,2057900,49.4730332859,1710362,41.1180310787397,
2432,73.2421875,128,8388607,201.666666666667,1679123,40.3670285582974,
2464,74.21875,128,8388607,201.666666666667,1679123,40.3670285582974,
2496,75.1953125,128,8388607,201.666666666667,2064743,49.6375427211375,
2528,76.171875,128,8388607,201.666666666667,2064743,49.6375427211375,
2560,77.1484375,128,6538467,157.188296578919,2011896,48.3670721491661,
2592,78.125,128,6538467,157.188296578919,2011896,48.3670721491661,
2624,79.1015625,128,-3534829,-84.9792083079666,2175128,52.2912580519428,
2656,80.078125,128,-3534829,-84.9792083079666,2175128,52.2912580519428,
2688,81.0546875,128,-3534829,-84.9792083079666,2175128,52.2912580519428,
2720,82.03125,128,-8111095,-194.995127518391,1748999,42.0468855357431,
2752,83.0078125,128,-8111095,-194.995127518391,1748999,42.0468855357431,
2784,83.984375,128,-8388608,-201.66669070721,1235559,29.7035091761958,
2816,84.9609375,128,-8388608,-201.66669070721,1235559,29.7035091761958,
2848,85.9375,128,-8388608,-201.66669070721,1459328,35.0830374260391,
2880,86.9140625,128,-8388608,-201.66669070721,1459328,35.0830374260391,
2912,87.890625,128,-3043340,-73.1635459061717,2070753,49.7820263841184,
2944,88.8671875,128,-3043340,-73.1635459061717,2070753,49.7820263841184,
2976,89.84375,128,8388607,201.666666666667,2170927,52.1902637311137,
3008,90.8203125,128,8388607,201.666666666667,2170927,52.1902637311137,
3040,91.796875,128,8388607,201.666666666667,1779079,42.770025066935,
3072,92.7734375,128,8388607,201.666666666667,1779079,42.770025066935,
3104,93.75,128,8051082,193.552382415817,1613388,38.7867234691052,
3136,94.7265625,128,8051082,193.552382415817,1613388,38.7867234691052,
3168,95.703125,128,-620556,-14.9185031555299,1516168,36.4495018859111,
3200,96.6796875,128,-620556,-14.9185031555299,1516168,36.4495018859111,
3232,97.65625,128,-6272021,-150.782790078655,2150421,51.6972883578883,
3264,98.6328125,128,-6272021,-150.782790078655,2150421,51.6972883578883,
3296,99.609375,128,-8388608,-201.66669070721,1560423,37.5134161130686,
3328,100.5859375,128,-8388608,-201.66669070721,1560423,37.5134161130686,
3360,101.5625,128,-8388608,-201.66669070721,1284799,30.8872655098357,
3392,102.5390625,128,-8388608,-201.66669070721,1284799,30.8872655098357,
3424,103.515625,128,-7286928,-175.181705377305,1791722,43.0739696511391,
3456,104.4921875,128,-7286928,-175.181705377305,1791722,43.0739696511391,
3488,105.46875,128,6187956,148.761821837642,2064869,49.6405718295461,
3520,106.4453125,128,6187956,148.761821837642,2064869,49.6405718295461,
3552,107.421875,128,8388607,201.666666666667,2013342,48.4018347742361,
3584,108.3984375,128,8388607,201.666666666667,2013342,48.4018347742361,
3616,109.375,128,8388607,201.666666666667,1168475,28.0907733945974,
3648,110.3515625,128,8388607,201.666666666667,1168475,28.0907733945974,
3680,111.328125,128,5116603,123.005914053032,1448673,34.8268854411704,
3712,112.3046875,128,5116603,123.005914053032,1448673,34.8268854411704,
3744,113.28125,128,-4232282,-101.74635709282,1736933,41.7568123448069,
3776,114.2578125,128,-4232282,-101.74635709282,1736933,41.7568123448069,
3808,115.234375,128,-8388608,-201.66669070721,1506128,36.2081348349414,
3840,116.2109375,128,-8388608,-201.66669070721,1506128,36.2081348349414,
3872,117.1875,128,-8388608,-201.66669070721,1253164,30.126742934395,
3904,118.1640625,128,-8388608,-201.66669070721,1253164,30.126742934395,
3936,119.140625,128,-8388608,-201.66669070721,1769956,42.5507031938279,
3968,120.1171875,128,-8388608,-201.66669070721,1769956,42.5507031938279,
4000,121.09375,128,-8388608,-201.66669070721,1769956,42.5507031938279,
4032,122.0703125,128,2446324,58.8109571311025,1832335,44.0503282209629,
4064,123.046875,128,2446324,58.8109571311025,1832335,44.0503282209629,
4096,124.0234375,128,8388607,201.666666666667,1394125,33.5155219056831,
4128,125,128,8388607,201.666666666667,1394125,33.5155219056831,
4160,125.9765625,128,8388607,201.666666666667,1857198,44.6480482397137,
4192,126.953125,128,8388607,201.666666666667,1857198,44.6480482397137,
4224,127.9296875,128,8388607,201.666666666667,1567026,37.6721558180041,
4256,128.90625,128,8388607,201.666666666667,1567026,37.6721558180041,
4288,129.8828125,128,1883783,45.2871660733818,1577628,37.9270336540978,
4320,130.859375,128,1883783,45.2871660733818,1577628,37.9270336540978,
4352,131.8359375,128,-7683591,-184.717699255669,1588411,38.1862628284609,
4384,132.8125,128,-7683591,-184.717699255669,1588411,38.1862628284609,
4416,133.7890625,128,-8388608,-201.66669070721,1205913,28.9908032406334,
4448,134.765625,128,-8388608,-201.66669070721,1205913,28.9908032406334,
4480,135.7421875,128,-8388608,-201.66669070721,1127386,27.1029715263412,
4512,136.71875,128,-8388608,-201.66669070721,1127386,27.1029715263412,
4544,137.6953125,128,-2538938,-61.0374479735829,1671294,40.1788151477355,
4576,138.671875,128,-2538938,-61.0374479735829,1671294,40.1788151477355,
4608,139.6484375,128,8388607,201.666666666667,1391657,33.4561898457436,
4640,140.625,128,8388607,201.666666666667,1391657,33.4561898457436,
4672,141.6015625,128,8388607,201.666666666667,1703313,40.9485692916595,
4704,142.578125,128,8388607,201.666666666667,1703313,40.9485692916595,
4736,143.5546875,128,8388607,201.666666666667,1891043,45.4617004150192,
4768,144.53125,128,8388607,201.666666666667,1891043,45.4617004150192,
4800,145.5078125,128,5495677,132.119058821884,1585601,38.1187089028409,
4832,146.484375,128,5495677,132.119058821884,1585601,38.1187089028409,
4864,147.4609375,128,-4153376,-99.8494140127596,1958330,47.0793164268315,
4896,148.4375,128,-4153376,-99.8494140127596,1958330,47.0793164268315,
4928,149.4140625,128,-8388608,-201.66669070721,1732587,41.6523321452537,
4960,150.390625,128,-8388608,-201.66669070721,1732587,41.6523321452537,
4992,151.3671875,128,-8388608,-201.66669070721,1336238,32.1238869973684,
5024,152.34375,128,-8388608,-201.66669070721,1336238,32.1238869973684,
5056,153.3203125,128,-6471986,-155.590057244705,1863406,44.7972919301937,
5088,154.296875,128,-6471986,-155.590057244705,1863406,44.7972919301937,
5120,155.2734375,128,7077291,170.141918080082,1858079,44.6692279580309,
5152,156.25,128,7077291,170.141918080082,1858079,44.6692279580309,
5184,157.2265625,128,8388607,201.666666666667,1783789,42.883256024113,
5216,158.203125,128,8388607,201.666666666667,1783789,42.883256024113,
5248,159.1796875,128,8388607,201.666666666667,1516419,36.4555360621853,
5280,160.15625,128,8388607,201.666666666667,1516419,36.4555360621853,
5312,161.1328125,128,8388607,201.666666666667,1516419,36.4555360621853,
5344,162.109375,128,8236894,198.019403777846,1577866,37.932755303314,
5376,163.0859375,128,8236894,198.019403777846,1577866,37.932755303314,
5408,164.0625,128,-976033,-23.4643632329738,1997203,48.0138444519652,
